id,name,now_cost,team,element_type,status
448,Johnny Furphy,43,18,1,a
814,Tony Bradley,45,18,2,a
832,Jahlil Okafor,50,18,2,u
36,Oshae Brissett,50,19,2,u
51,Lonnie Walker IV,60,19,1,a
60,Isaiah Mobley,45,19,2,u
152,Quentin Grimes,55,19,1,a
278,Jalen Hood-Schifino,44,19,1,a
399,Chuma Okeke,49,19,2,u
450,Andre Drummond,93,19,2,i
451,Reggie Jackson,73,19,1,u
452,Paul George,139,19,2,u
455,Robert Covington,50,19,2,u
456,Kyle Lowry,89,19,1,i
457,Danny Green,45,19,1,u
458,Joel Embiid,178,19,2,u
459,Tyrese Maxey,149,19,1,i
460,Danuel House Jr.,50,19,2,u
461,Montrezl Harrell,60,19,2,u
462,Ricky Council IV,47,19,1,a
463,Terquavion Smith,45,19,1,u
464,Azuolas Tubelis,45,19,2,u
466,Kelly Oubre Jr.,94,19,1,d
467,Jeff Dowtin,49,19,1,a
468,D.J. Wilson,45,19,2,u
469,Eric Gordon,74,19,1,u
470,Adem Bona,44,19,2,a
471,Justin Edwards,43,19,2,a
473,Jared McCain,52,19,1,u
474,Max Fiedler,45,19,2,u
475,Judah Mintz,45,19,1,u
476,Guerschon Yabusele,57,19,2,a
716,Jared Butler,44,19,1,a
802,Alex Reese,45,19,2,a
809,Jordan Tucker,45,19,2,u
836,Marcus Bagley,45,19,2,a
837,Phillip Wheeler,45,19,2,a
477,Collin Gillespie,44,20,1,a
478,Mason Plumlee,54,20,2,a
479,TyTy Washington Jr.,44,20,1,a
480,Monte Morris,53,20,1,a
481,Grayson Allen,93,20,1,a
482,Royce O'Neale,85,20,2,a
483,Bol Bol,52,20,2,a
484,Kevin Durant,160,20,2,a
485,Devin Booker,150,20,1,a
486,Damion Lee,59,20,1,a
488,Ish Wainright,45,20,2,u
489,Saben Lee,45,20,1,u
490,Bradley Beal,122,20,1,i
491,Udoka Azubuike,45,20,2,u
494,Thaddeus Young,50,20,2,u
495,Theo Maledon,45,20,1,u
496,Isaiah Thomas,45,20,1,u
497,Tyus Jones,114,20,1,a
498,Jalen Bridges,44,20,2,a
499,Ryan Dunn,44,20,2,a
500,Oso Ighodaro,44,20,2,a
578,Paul Watson,45,20,1,u
671,Mamadi Diakite,45,20,2,u
769,Vasilije Micic,52,20,1,a
772,Cody Martin,89,20,2,a
774,Nick Richards,95,20,2,a
796,Frank Kaminsky,50,20,2,u
797,David Stockton,45,20,1,u
798,Moses Wood,45,20,2,u
501,Henri Drell,45,21,2,u
502,Robert Williams III,78,21,2,i
503,Dalano Banton,83,21,1,a
504,Deandre Ayton,129,21,2,i
505,Toumani Camara,76,21,2,a
507,Matisse Thybulle,65,21,1,a
508,Anfernee Simons,129,21,1,d
509,Jerami Grant,125,21,2,i
510,Shaedon Sharpe,77,21,1,a
511,Jabari Walker,83,21,2,a
512,Ibou Badji,45,21,2,u
513,Scoot Henderson,97,21,1,i
514,Kris Murray,53,21,2,a
515,Rayan Rupert,43,21,1,a
516,Antoine Davis,45,21,1,u
517,Justin Minaya,42,21,2,a
518,Duop Reath,46,21,2,a
519,Malachi Smith,45,21,1,u
520,George Conditt IV,45,21,2,u
521,Taze Moore,43,21,1,u
522,Ashton Hagans,50,21,1,u
523,Devonte' Graham,50,21,1,u
524,Deni Avdija,118,21,2,a
525,Bryce McGowens,48,21,1,u
526,Donovan Clingan,74,21,2,a
571,Sidy Cissoko,44,21,1,d
775,James Bouknight,45,21,1,u
831,Nick Muszynski,45,21,2,u
103,Zach LaVine,124,22,1,a
113,Terry Taylor,44,22,2,u
249,Brodric Thomas,45,22,1,u
324,Jae Crowder,53,22,2,a
351,Daishen Nix,44,22,1,u
414,Markelle Fultz,75,22,1,a
442,Doug McDermott,48,22,2,a
527,DeMar DeRozan,144,22,1,a
530,Robin Lopez,45,22,2,u
531,Filip Petrusev,45,22,2,u
532,JaVale McGee,50,22,2,u
533,Domantas Sabonis,168,22,2,a
535,Malik Monk,103,22,1,a
536,Trey Lyles,53,22,2,a
537,Keegan Murray,109,22,2,a
540,Keon Ellis,53,22,1,a
543,Aleksandar Vezenkov,50,22,2,u
544,Jordan Ford,45,22,1,u
545,Deonte Burton,45,22,2,u
546,Chance Comanche,50,22,2,u
547,Jeremy Lamb,45,22,1,u
548,Juan Toscano-Anderson,45,22,2,u
549,Mason Jones,44,22,1,a
551,Devin Carter,60,22,1,i
552,Isaiah Crawford,44,22,2,a
553,Isaac Jones,44,22,2,a
686,Jake LaRavia,70,22,2,i
707,Jonas Valanciunas,109,22,2,a
799,Boogie Ellis,45,22,1,u
800,Skal Labissiere,45,22,2,u
529,Jordan McLaughlin,49,23,1,a
534,De'Aaron Fox,152,23,1,i
554,Chris Paul,99,23,1,a
556,Harrison Barnes,74,23,2,a
558,David Duke Jr.,55,23,1,a
559,Cedi Osman,55,23,2,u
560,Sandro Mamukelashvili,49,23,2,a
561,Julian Champagnie,47,23,2,a
562,Charles Bassey,50,23,2,i
563,Keldon Johnson,110,23,2,a
564,Devin Vassell,120,23,1,a
567,Jeremy Sochan,94,23,2,a
568,Malaki Branham,52,23,1,a
569,Blake Wesley,54,23,1,a
570,Khem Birch,50,23,2,u
572,Sir'Jabari Rice,45,23,1,u
573,Victor Wembanyama,172,23,2,u
574,Setric Millner Jr.,45,23,2,u
575,RaiQuan Gray,45,23,2,u
580,Stephon Castle,75,23,1,a
581,Harrison Ingram,44,23,2,a
582,Riley Minix,44,23,2,u
583,Juan Nunez,45,23,1,u
601,Bismack Biyombo,50,23,2,a
783,Nathan Mensah,45,23,2,u
823,Isaiah Miller,45,23,1,u
95,Daniel Theis,58,24,2,u
584,Alex Caruso,98,24,1,a
585,Isaiah Hartenstein,103,24,2,i
586,Olivier Sarr,45,24,2,u
587,Isaiah Joe,54,24,1,a
588,Shai Gilgeous-Alexander,178,24,1,a
589,Chet Holmgren,134,24,2,i
590,Luguentz Dort,88,24,1,a
591,Aaron Wiggins,56,24,1,i
592,Kenrich Williams,55,24,2,a
593,Jalen Williams,128,24,1,a
594,Ousmane Dieng,49,24,2,i
595,Jaylin Williams,55,24,2,i
596,Cason Wallace,52,24,1,a
597,Mike Muscala,50,24,2,u
598,Gordon Hayward,85,24,2,u
599,Hunter Maldonado,45,24,1,u
600,KJ Williams,45,24,2,u
602,Adam Flagler,45,24,1,a
603,Alex Ducas,44,24,1,i
604,Dillon Jones,48,24,2,a
605,Ajay Mitchell,45,24,1,i
606,Nikola Topic,55,24,1,u
