id,name,team,now_cost,element_type,PTS,TREB,AST,STL,BLK,TO,PPG,Gameweek 10 - Day 1,Gameweek 10 - Day 2,Gameweek 10 - Day 3,Gameweek 10 - Day 4,Gameweek 10 - Day 5,Gameweek 10 - Day 6,Gameweek 11 - Day 1,Gameweek 11 - Day 2,Gameweek 11 - Day 3,Gameweek 11 - Day 4,Gameweek 11 - Day 5,Gameweek 11 - Day 6,Gameweek 11 - Day 7
163,Caris LeVert,9,90,1,9.3,2.04,4.199999999999999,1.7999999999999998,1.5,-1.4,17.44,17.4,17.0,0.0,19.2,0.0,16.28,0.0,16.88,0.0,17.33,0.0,0.0,16.55
164,Javonte Green,9,59,1,6.6,3.24,1.2000000000000002,3.0,1.2000000000000002,-0.8,14.439999999999998,14.7,13.9,0.0,15.79,0.0,13.64,0.0,13.88,0.0,14.27,0.0,0.0,13.71
165,Tobias Harris,9,120,2,14.7,6.119999999999999,3.5999999999999996,1.2000000000000002,0.8999999999999999,-1.1,25.419999999999998,25.09,24.79,0.0,26.96,0.0,23.66,0.0,24.58,0.0,25.4,0.0,0.0,24.36
166,Paul Reed,9,64,2,6.7,5.52,1.7999999999999998,2.4000000000000004,2.0999999999999996,-1.1,17.42,17.61,16.66,0.0,19.0,0.0,16.25,0.0,16.65,0.0,17.36,0.0,0.0,16.52
167,Cade Cunningham,9,172,1,27.5,7.68,13.950000000000001,4.5,2.4000000000000004,-3.9,52.13,51.62,51.02,0.0,56.68,0.0,48.73,0.0,50.73,0.0,51.96,0.0,0.0,49.66
168,Isaiah Stewart,9,95,2,10.0,7.199999999999999,1.6500000000000001,0.6000000000000001,6.0,-1.2,24.25,24.51,22.95,0.0,26.76,0.0,22.1,0.0,22.73,0.0,24.26,0.0,0.0,22.87
169,Jaden Ivey,9,100,1,7.6,3.24,1.6500000000000001,0.6000000000000001,0.30000000000000004,-1.1,12.290000000000001,12.07,12.01,0.0,13.11,0.0,11.39,0.0,11.91,0.0,12.29,0.0,0.0,11.78
170,Jalen Duren,9,125,2,18.8,13.799999999999999,2.7,2.0999999999999996,3.0,-2.6,37.800000000000004,37.54,36.42,0.0,40.33,0.0,34.93,0.0,36.21,0.0,37.89,0.0,0.0,36.11
172,Ausar Thompson,9,100,1,11.8,7.199999999999999,4.65,4.5,2.0999999999999996,-1.4,28.85,29.08,27.84,0.0,31.3,0.0,27.15,0.0,27.83,0.0,28.69,0.0,0.0,27.43
174,Daniss Jenkins,9,44,1,8.3,2.28,5.25,3.0,0.30000000000000004,-1.4,17.73,17.7,17.37,0.0,19.4,0.0,16.79,0.0,17.36,0.0,17.6,0.0,0.0,16.87
175,Bobi Klintman,9,44,2,2.8,3.24,1.0499999999999998,0.8999999999999999,0.0,-0.8,7.19,7.11,6.96,0.0,7.66,0.0,6.72,0.0,6.99,0.0,7.23,0.0,0.0,6.88
177,Chaz Lanier,9,44,1,3.3,1.32,1.2000000000000002,0.8999999999999999,0.0,-0.1,6.620000000000001,6.61,6.47,0.0,7.02,0.0,6.27,0.0,6.45,0.0,6.58,0.0,0.0,6.34
178,Duncan Robinson,9,75,2,12.4,3.5999999999999996,3.0,3.0,0.8999999999999999,-0.7,22.2,22.25,21.63,0.0,23.86,0.0,20.93,0.0,21.48,0.0,21.99,0.0,0.0,21.21
